target,text
Prime Ministers office,"Prime Minister Narendra Modi celebrated Raksha Bandhan on Thursday with daughters of the staff members working at his office. Officials said daughters of sweepers, peons, gardeners, drivers and other such members of the staff working at the Prime Minister's Office tied rakhis on Modi's hand."
Prime Ministers office,"On the occasion of World Biofuel Day, Prime Minister Narendra Modi will dedicate the 2nd generation (2G) Ethanol Plant in Panipat, Haryana to the nation on Wednesday at 4:30 pm via video conferencing.
According to Prime Minister's Office (PMO), the dedication of the plant is part of a long series of steps taken by the government over the years to boost the production and usage of biofuels in the country."
Prime Ministers office,"Prime Minister Narendra Modi will attend the first 'Arun Jaitley Memorial Lecture' (AJML) on July 8 at 6:30 pm at Vigyan Bhavan. He will also address the gathering during the event.
The keynote address at the first AJML will be delivered by Tharman Shanmugaratnam, Senior Minister, Government of Singapore, on 'Growth through Inclusivity, Inclusivity through Growth'. The lecture will be followed by a panel discussion by Mathias Cormann (OECD Secretary-General) and Arvind Panagariya "
Prime Ministers office,"Prime Minister Narendra Modi will on June 16 and 17 chair the first national conference of chief secretaries in Himachal Pradesh's Dharamshala during which implementation of a common development agenda and a blueprint for cohesive action to achieve people's aspirations will be discussed, his office said. More than 200 people representing the central government, all states and union territories, and domain experts will participate in the conference at the Himachal Pradesh Cricket Association Stad .."
Prime Ministers office,"PM to address the inaugural session of Joint Conference of Chief Ministers and Chief Justices of High Courts on 30th April. Prime Minister Shri Narendra Modi will participate in the inaugural session of the Joint Conference of Chief Ministers of States and Chief Justices of High Courts at Vigyan Bhawan, New Delhi on 30th April, 2022 at 10 AM. He will also address the gathering on the occasion."
Prime Ministers office,"English rendering of PM’s address while dedicating and laying the foundation stone of cancer hospitals in Assam. Governor of Assam Shri Jagdish Mukhi ji, popular and energetic Chief Minister of Assam Shri Himanta Biswa Sarma ji, my senior colleagues in the Union Cabinet Shri Sarbananda Sonowal ji and Shri Rameswar Teli ji, Shri Ratan Tata ji, who contributed significantly to the development of the country, ministers in the Assam government, Shri Keshab Mahanta ji, Ajanta Neog ji and Atul Bora ji, Shri Ranjan Gogoi ji, the son of this soil and who rendered excellent services in the field of justice and is helping us in the process of drafting laws in Parliament, MPs, MLAs and my dear brothers and sisters!
"
Prime Ministers office,"The Prime Minister, Shri Narendra Modi has congratulated Emmanuel Macron on being re-elected as the President of France.
In a tweet, the Prime Minister said;
""Congratulations to my friend @EmmanuelMacron on being re-elected as the President of France! I look forward to continue working together to deepen the India-France Strategic Partnership."""
Prime Ministers office,"The Prime Minister, Shri Narendra Modi shared his message at the inauguration of the Khelo India University Games today. The games were declared open by the Vice President of India Shri M. Venkaiah Naidu in Bengaluru today. Governor of Karnataka Shri Thaawar Chand Gehlot, Chief Minister Shri Basavaraj Bommai, Union Minister of Youth Affairs and Sports Shri Anurag Singh Thakur, Minister of State, Ministry of Youth Affairs and Sports Shri Nisith Pramanik were among those present on the occasion."
Prime Ministers office,"The Prime Minister Shri Narendra Modi visited Jammu & Kashmir to participate in the celebration of National Panchayati Raj Day today and addressed all the Gram Sabhas across the country. He visitedPalli Panchayat in Samba district. The Prime Minister inaugurated and laid the foundation stone of multiple development initiatives worth around Rs 20,000 crore. He also launched the Amrit Sarovar initiative. Lt Governor Jammu and Kashmir Shri Manoj Sinha, Union Ministers Shri Giriraj Singh, Dr Jitendra Singh and Shri Kapil Moreshwar Patil were among those present on the occasion."
Prime Ministers office,"On the occasion of Civil Services Day, Prime Minister Shri Narendra Modi conferred the Prime Minister’s Awards for Excellence in Public Administration at Vigyan Bhawan, New Delhi today. Union Minister Shri Jitendra Singh, Principal Secretary to Prime Minister, Shri P K Mishra, Cabinet Secretary Shri Rajiv Gauba were among those present on the occasion.
Speaking on the occasion, the Prime Minister greeted all the ‘Karmayogis’ on the Civil Service Day. He started with suggestion for improving the governance and knowledge sharing. He suggested all the training academies can virtually share the process and experiences of the award winners on a weekly basis. Secondly, from the award-winning projects, one scheme may be chosen for implementation among few districts and the experience of the same may be discussed in the next year’s Civil Service Day."
