target,text
prime minister office,prime minister narendra modi celebrated raksha bandhan thursday daughter staff member working office official said daughter sweeper peon gardener driver member staff working prime minister office tied rakhis modis hand
prime minister office,occasion world biofuel day prime minister narendra modi dedicate 2nd generation 2g ethanol plant panipat haryana nation wednesday 430 pm via video conferencing according prime minister office pmo dedication plant part long series step taken government year boost production usage biofuels country
prime minister office,prime minister narendra modi attend first arun jaitley memorial lecture ajml july 8 630 pm vigyan bhavan also address gathering event keynote address first ajml delivered tharman shanmugaratnam senior minister government singapore growth inclusivity inclusivity growth lecture followed panel discussion mathias cormann oecd secretarygeneral arvind panagariya
prime minister office,prime minister narendra modi june 16 17 chair first national conference chief secretary himachal pradeshs dharamshala implementation common development agenda blueprint cohesive action achieve people aspiration discussed office said 200 people representing central government state union territory domain expert participate conference himachal pradesh cricket association stad
prime minister office,pm address inaugural session joint conference chief minister chief justice high court 30th april prime minister shri narendra modi participate inaugural session joint conference chief minister state chief justice high court vigyan bhawan new delhi 30th april 2022 10 also address gathering occasion
prime minister office,english rendering pm address dedicating laying foundation stone cancer hospital assam governor assam shri jagdish mukhi ji popular energetic chief minister assam shri himanta biswa sarma ji senior colleague union cabinet shri sarbananda sonowal ji shri rameswar teli ji shri ratan tata ji contributed significantly development country minister assam government shri keshab mahanta ji ajanta neog ji atul bora ji shri ranjan gogoi ji son soil rendered excellent service field justice helping u process drafting law parliament mp mlas dear brother sister
prime minister office,prime minister shri narendra modi congratulated emmanuel macron reelected president france tweet prime minister said congratulation friend emmanuelmacron reelected president france look forward continue working together deepen indiafrance strategic partnership
prime minister office,prime minister shri narendra modi shared message inauguration khelo india university game today game declared open vice president india shri venkaiah naidu bengaluru today governor karnataka shri thaawar chand gehlot chief minister shri basavaraj bommai union minister youth affair sport shri anurag singh thakur minister state ministry youth affair sport shri nisith pramanik among present occasion
prime minister office,prime minister shri narendra modi visited jammu kashmir participate celebration national panchayati raj day today addressed gram sabhas across country visitedpalli panchayat samba district prime minister inaugurated laid foundation stone multiple development initiative worth around r 20000 crore also launched amrit sarovar initiative lt governor jammu kashmir shri manoj sinha union minister shri giriraj singh dr jitendra singh shri kapil moreshwar patil among present occasion
prime minister office,occasion civil service day prime minister shri narendra modi conferred prime minister award excellence public administration vigyan bhawan new delhi today union minister shri jitendra singh principal secretary prime minister shri p k mishra cabinet secretary shri rajiv gauba among present occasion speaking occasion prime minister greeted karmayogis civil service day started suggestion improving governance knowledge sharing suggested training academy virtually share process experience award winner weekly basis secondly awardwinning project one scheme may chosen implementation among district experience may discussed next year civil service day
ministry commerce industry,india merchandise export first quarter 202223 jump 222 usd 1167 billion usd 955 billion first quarter 202122 recording highest ever export first quarter nonpetroleum export rise 119 usd 925 billion period last year
ministry commerce industry,april export jump 2422 continuing recordbreaking 202122 performance resulting highest ever export april nonpetroleum export rise 123 april nonpetroleum import 98 petroleum product electronic good chemical record major increase export
ministry commerce industry,india achieved highest monthly value merchandise export march 2022 amounting usd 4038 billion increase 1453 usd 3526 billion march 2021 increase 8789 usd 2149 billion march 2020 india merchandise import april 2021march 2022 usd 61022 billion increase 5471 usd 39444 billion april 2020march 2021 increase 2855 usd 47471 billion april 2019march 2020 trade deficit march 2022 usd 1869 billion 19241billion usd april 2021march 2022
ministry commerce industry,shri piyush goyal call free trade within rulesbased multilateral trading system must work resolve issue posed non tariff barrier international trade minister commerce industry consumer affair food public distribution textile shri piyush goyal today called free trade within rulesbased multilateral trading system honesty transparency core value added wherever india face unfair unjust treatment take reciprocal action shri goyal also emphasized upon need resolution issue posed non tariff barrier international trade addressing 54th convocation indian institute foreign trade new delhi today
ministry commerce industry,guideline engagement young professional associate consultant senior consultant department commerce independent consultant
ministry commerce industry,compendium initiative undertaken trade facilitation exim logisitcs compendium provides snapshot reform measure related ministry agency undertaken improve exim logistics help better dissemination support building confidence stakeholder involved logistics sector
ministry commerce industry,union minister commerce industry piyush goyal announced india achieved landmark milestone wherein 75000 startup recognized country department promotion industry internal trade dpiit recognized 75000 startup milestone coincides 75th year independence
ministry commerce industry,ministry commerce industry export promotion body agricultural product apeda set export target 2356 billion financial year 202223 fy23 apeda organise 300 event current year achieve export target
ministry commerce industry,commerce ministry proposing host direct indirect incentive deferral import duty exemption export tax revamp special economic zone new legislation official said union budget year government proposed replace existing law governing special economic zone sezs new legislation enable state become partner development enterprise service hub desh
ministry commerce industry,joint effort government stateut leadership honble narendra modi ji enabled startup ecosystem across nation throughout year expand via innovation hasten entrepreneurship development
ministry commerce industry,department promotion industry internal trade dpiit handle core programmesschemes india industrial development viz make india ease business startup india ipr internal trade ecommerce logistic fdi etc view utilize young talent professional qualification build organizational capacity strengthen programme monitoring scheme formulation evaluation project monitoring protection ipr formulate trade commerce country department proposes engage young professional various division ypnonict national informatics centre ypict department
ministry commerce industry,ep gem jewellery division deal facilitating promoting export gem jewellery product along appraisal import commodity relating gem jewellery sector epgj division facilitates various export promotional measure gem jewellery sector including participation trade promotion event along export related intervention address issueschallenges faced industry division also handle work related preparation review export strategyaction plan monitoring analyzing export performance taking corrective action along issue pertaining domestic gem jewellery industry
ministry commerce industry,minister railway commerce industry consumer affair food public distribution shri piyush goyal today called upon indian pharmaceutical health care sector adopt best practice term quality facility commitment maintain high standard addressing 6th international conference pharmaceutical medical device sector said collectively ensure nation good manufacturing practice entire health ecosystem provide confidence world india place look anything health one stop solution
ministry tourism,ministry tourism government india north started har ghar tiranga campaign 13th aug 2022 hoisting national flag premise holy badrinath temple complex also participant parikrama
ministry tourism,boost medical tourism govt plan facility international patient initiative aim boost medical tourism india feature special desk 10 airport multilingual portal simplified visa norm incoming international passenger visiting india medical purpose
ministry tourism,ministry tourism celebrated azadi ka amrit mahotsav national war memorial new delhi today organising visit tourism related stakeholder memorial ministry tourism felicitated 7 kith kin martyr
ministry tourism,ministry tourism developed new set yoga creatives shared domestic overseas india tourism officer well stakeholder indian mission abroad promote international day yoga
ministry tourism,first incredible india international cruise conference 2022 held mumbai 1415 may 2022 union minister tourism culture doner addressed participant may 15th 2022 potential river cruising cruise tourism success story destination development twoday conference showcased abundant business opportunity available cruise tourism sector country
ministry tourism,ministry tourism developed digital brochure 06 selected unesco world heritage site viz great himalayan national park conservation area mahabodhi temple manas wildlife sanctuary rock shelter bhimbetka champaner pavagadh archeological park ramappa temple promotion heritage tourism
ministry tourism,celebration achievement vaccinecentury done india achieved 100 crore vaccine mark inform tourist india safe tourism india reopening along free distribution first 05 lakh tourist visa also amplified welcome first set tourist chartered flight relevant highlight honble pm honble ministert ministry posted post story simultaneously similarly indiaat75 activity carried state government india tourism office also simultaneously amplified initiative like ekbharat shreshthabharat aatmanirbharbharat vocal4local amplification relevant creative post also carried
ministry tourism,extending swachchatapakhwada2021 india tourism varanasi organised campaign chandra prabha wildlife sanctuary rajdari devdari support forest department region india tourism imphal association s tour travel organized swachh bharat abhiyan campaign mary com complex lamphelpat 02102021 commemoration birth anniversary mahatma gandhi
ministry tourism,ministry tourism participated dubai expo dubai uae held aegis department commerce doc ministry external affair mea 0314 january 2022 ministry tourism represented additional secretary tourism also inaugurated tourism fortnight expo 03012022 highlighting new policy framework ministry boost growth sector india pavilion drew large number people got chance view varied tourism product country exhibited thematically
ministry tourism,ministry tourism also constituted india golf tourism committee igtc secretary tourism chairman nodal body golf tourism country
ministry tourism,ministry environment forest climate change government india recently prepared policy ecotourism forest wild life area ministry tourism extended support policy
